                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8886,                 1.1946,                0.96673,                0.60119,                0.46983,                 0.5339,                0.23782,                 1.8003,                 1.3425,                 1.0322,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8567,                 1.1877,                0.99293,                0.56964,                0.53879,                0.53017,                0.25336,                  1.764,                 1.1896,                 1.0361,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.8626,                 1.1295,                0.97854,                0.72855,                0.49138,                0.57039,                0.27429,                 1.7247,                 1.1449,                 1.0351,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0293,                 1.2239,                0.98899,                0.71027,                    0.5,                 0.5726,                0.27273,                 1.7338,                 1.1322,                 1.0363,               0.001307,               0.001307,               0.001307
                     38,                 1.8634,                 1.2093,                 0.9593,                0.57604,                0.54467,                0.53896,                0.22712,                 1.8502,                 1.2369,                   1.05,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.9288,                 1.1771,                0.97314,                0.60347,                0.48276,                0.51561,                0.22045,                 1.7986,                 1.2921,                 1.0328,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.8849,                 1.1964,                0.97419,                 0.6243,                0.53448,                0.56251,                0.25555,                 1.7659,                 1.2585,                 1.0432,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.7585,                 1.1271,                 1.0001,                0.66006,                0.50862,                0.57086,                0.26376,                 1.7425,                 1.1571,                 1.0398,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.8605,                 1.1323,                0.97797,                0.68114,                0.49138,                0.56922,                0.27455,                 1.7193,                 1.1361,                 1.0373,               0.001208,               0.001208,               0.001208
                     43,                 1.8459,                  1.178,                 1.0288,                0.70753,                    0.5,                0.59889,                0.27561,                 1.7556,                 1.1411,                 1.0486,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.8053,                 1.0806,                0.98076,                0.70179,                0.53761,                 0.6193,                0.29248,                  1.734,                 1.1087,                 1.0287,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.8022,                  1.088,                0.98432,                0.62929,                0.56034,                0.62365,                 0.2934,                 1.7352,                 1.0882,                 1.0225,              0.0011486,              0.0011486,              0.0011486
                     46,                  1.801,                 1.0721,                0.97676,                0.57534,                0.56897,                0.58582,                0.26324,                 1.7876,                 1.1382,                 1.0268,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.8557,                 1.1385,                0.96282,                0.55199,                0.56466,                0.55819,                0.24297,                 1.8171,                 1.1705,                 1.0278,               0.001109,               0.001109,               0.001109
